N,a,v,t,T_obs,M_obs,V_obs
10,1.7890256504035358,1.1253759598609796,0.4917115156561701,8,1.3478246852278533,0.6128098174728173
10,1.8738417865647081,0.604749623660379,0.23676354831566884,6,1.0083621872406048,2.0266815262403823
10,1.7215897575698829,1.8759649476872462,0.12965531941144126,10,0.5859918028002411,0.06950581255022296
10,0.5921002537827023,1.2513267973632891,0.4324215575168818,7,0.5292896668338588,0.028129275084966123
10,1.6358633027935316,1.5024330562436274,0.48988443530216086,10,1.107800973766313,0.13059462134271568
10,1.1878152716065855,1.757666961960074,0.3694917127999533,8,0.7108171445933984,0.13571916851687288
10,0.9624282459101605,1.318553791926563,0.3891099154310589,9,0.400339635105761,0.12712393117314494
10,1.9089274289813876,1.9918385146675237,0.2532854124724982,10,0.7234839505318038,0.09713424196584373
10,1.6630804556227512,1.1501102646411028,0.33024439042952614,6,0.9697981899035288,0.28524636890695326
10,0.9355035726137851,1.1413532356331642,0.3856134026911202,7,0.5197297512652924,0.2670506076362964
10,1.428414558136689,0.7468972754236793,0.36696349667436556,9,1.1669521266953906,1.3020384362175226
10,1.3724479478808767,0.6799579961342522,0.13849394668173934,5,0.6903086957420627,0.956545503778791
10,0.7706760354205489,1.7616929482610522,0.3433039516734451,10,0.4020744177653365,0.02500827791052046
10,0.8394000028731097,0.9228847273216703,0.2681839201387298,9,0.5247084956936403,0.5663990066202831
10,1.4025671098830623,1.2923707096492851,0.49101837073568855,7,0.9968603932563687,0.17465501449474585
10,0.8305665663871913,0.758343374841266,0.19253648583495228,7,0.4759691860999742,0.6271508259559607
10,0.8051991708084305,0.6766189165948127,0.298847520229385,10,0.22224385832902432,0.7944446509004441
10,0.7943656936932311,1.831515043864341,0.3369875145314499,8,0.5369752154691445,0.021788665533775804
10,0.527204716159585,0.5132194031817542,0.21740205500304569,5,0.33096748325531944,0.36940414971512914
10,0.6979022456262312,1.8067230602871884,0.18762180838130457,7,0.31905919815947936,0.050177728482235194
10,1.7550361573658138,1.0285258450779335,0.12294531513768031,8,1.0546745263149653,0.1928593148649292
